Lesson,CardNum,Maranao,WordNote,Cebuano Word,WordNote,English,EnglishNote,Grammar,Category,SubCategory1,SubCategory2,ACTFLEst,Type
14,170,Taaman,,Tilaw,,Taste,,Verb,You,Personal Action,Sensory,Novice-High,N
14,171,Ken,,Kaon,,Eat,,Verb,You,Personal Action,Daily Activity,Novice-High,N
14,172,Minom,,Inom,,Drink,,Verb,You,Personal Action,Daily Activity,Novice-High,N
14,173,Den,,Na,,Already,,Particle,Function Word,Aspect,Aspect,Novice-High,N
14,174,Pekanan,,Kan-anan,,Eating place/dining area,,Noun,World,Location,Food Service,Novice-High,N
14,175,Tolang,,Kusina,,Kitchen,,Noun,Home,Room,Cooking,Novice-High,N
14,176,Penganengken,,Pagkaon,,Food,,Noun,Home,Household Item,Meal,Novice-Mid,N
14,177,Lapad,,Plato,,Plate,,Noun,Home,Household Item,Tableware,Novice-High,N
14,178,Saridot,,Kutsara,,Spoon,,Noun,Home,Household Item,Tableware,Novice-High,N
14,179,Tinidor,,Tinidor,,Fork,,Noun,Home,Household Item,Tableware,Novice-High,N
14,180,Tagayan,,Baso,,Glass,,Noun,Home,Household Item,Tableware,Novice-High,N
14,181,Ig,,Tubig,,Water,,Noun,Home,Household Item,Beverage,Novice-Mid,N
14,182,Mapiya i taam,,Lami,,Delicious,,Adjective,You,Personal Perception,Taste,Novice-Mid,N
14,183,Mainot,,Gamay,,Few,,Adjective,Function Word,Size,Size,Novice-Mid,N
14,184,Madakel,,Daghan,,Many,,Adjective,Function Word,Quantity,Quantity,Novice-Mid,N
14,185,Na,,Kay,,Is,,Conjunction,Function Word,Equational Linker,Equational Linker,Novice-High,N
14,186,aden,,Naa/naay,,There is/has/have,,Existential verb,Function Word,Existence,Existence,Novice-Mid,N
15,187,Bayad,,Bayad,,Pay,,Verb / Noun,You,Personal Action,Transaction,Novice-High,N
15,188,Pemasa,,Palit,,Buy,,Verb,You,Personal Action,Transaction,Novice-High,N
